threshold,roc_auc,pr_auc,brier_score,accuracy,balanced_accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,f2,flagged_customers,flagged_rate
0.69,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8217962371317004,0.6934835535379671,0.8209150326797385,0.42006688963210703,0.5557522123893806,4002,137,867,628,0.46553002223869533,765,0.13578274760383385
0.7,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8178913738019169,0.6842028796964352,0.8234482758620689,0.39933110367892977,0.5378378378378378,4011,128,898,597,0.4451901565995526,725,0.12868299609513667
0.71,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8159389421370252,0.6777465514831188,0.8328488372093024,0.3832775919732441,0.5249656436097114,4024,115,922,573,0.4296640671865627,688,0.12211572594959176
0.72,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8136315228966986,0.6701940348798968,0.8449612403100775,0.36454849498327757,0.5093457943925234,4039,100,950,545,0.41132075471698115,645,0.11448349307774228
0.73,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8099041533546326,0.6616751012677354,0.8475409836065574,0.345819397993311,0.49121140142517816,4046,93,978,517,0.3922610015174507,610,0.10827121050763223
0.74,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8067092651757188,0.6524503438618379,0.8612099644128114,0.3237458193979933,0.47058823529411764,4061,78,1011,484,0.36991745643534085,562,0.0997515086971956
0.75,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.8017394391196309,0.6413766270915131,0.8648648648648649,0.29966555183946486,0.44510680576254347,4069,70,1047,448,0.34472145275469374,518,0.09194178203762868
0.76,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7971246006389776,0.6301172225045877,0.8760683760683761,0.27424749163879597,0.4177279673968416,4081,58,1085,410,0.31792803970223327,468,0.08306709265175719
0.77,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7909123180688676,0.6175569527481878,0.8729411764705882,0.24816053511705685,0.38645833333333335,4085,54,1124,371,0.2896174863387978,425,0.0754348597799077
0.78,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7878949236776713,0.6099485197093315,0.8846153846153846,0.23076923076923078,0.3660477453580902,4094,45,1150,345,0.2708006279434851,390,0.06922257720979766
0.79,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7847000354987576,0.6026465766131932,0.8916666666666667,0.21471571906354514,0.3460916442048518,4100,39,1174,321,0.2531545741324921,360,0.06389776357827476
0.8,0.8942025483996344,0.7531405192682168,0.11322133392171327,0.7799077032303869,0.5927618921410743,0.8923076923076924,0.1939799331103679,0.31868131868131866,4104,35,1205,290,0.22997620935765264,325,0.057685481008164716
